gps_ref,name,distance,rating,total_ratings,categories,latitude,longitude,address
"40.7128,-74.006",Atera,439,9.0,238,"[{'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13303, 'name': 'Mexican Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",40.716911,-74.00556,"77 Worth St (btwn Broadway & Church St), New York, NY 10013"
"40.7128,-74.006",Holywater,423,8.4,16,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",40.716076,-74.008495,"112 Reade St (at W Broadway), New York, NY 10013"
"40.7128,-74.006",Takahachi,450,9.0,429,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",40.716631,-74.007906,"145 Duane St (btwn W Broadway & Church St), New York, NY 10013"
"40.7128,-74.006",Voyager Espresso,454,8.9,246,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13332, 'name': 'Salad Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/salad_', 'suffix': '.png'}}, {'id': 13334, 'name': 'Sandwich Spot', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}]",40.708787,-74.00681,"110 William St (btwn John & Fulton St), New York, NY 10038"
"40.7128,-74.006",Vanessa V Pena MD - Weill Cornell Medicine,435,8.2,17,"[{'id': 15000, 'name': 'Health and Medicine', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_', 'suffix': '.png'}}]",40.716928,-74.006914,"40 Worth St (btwn Church & W Broadway), New York, NY 10013"
"40.7128,-74.006",Wf Beer Garden,411,7.7,21,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.712073,-74.010911,"33 Vesey St, New York, NY 10007"
"40.7128,-74.006",Zucker's Bagels and Smoked Fish,447,8.3,577,"[{'id': 13001, 'name': 'Bagel Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bagels_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",40.715609,-74.009786,"146 Chambers St (btwn W. Broadway & Greenwich St), New York, NY 10007"
"40.7128,-74.006",Oculus Plaza,489,8.9,493,"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",40.711733,-74.011509,"Greenwich St (at Fulton St), New York, NY 10007"
"40.7128,-74.006",Tiny's & The Bar Upstairs,481,8.4,739,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.716734,-74.008085,"135 W Broadway (between Duane St & Thomas St), New York, NY 10013"
"40.7128,-74.006",Hole In The Wall,503,9.0,475,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.708387,-74.005659,"15 Cliff St (btwn Fulton & John St), New York, NY 10038"
