gps_ref,name,distance,rating,total_ratings,categories,latitude,longitude,address
"40.7128,-74.006",The Odeon,498,8.7,1043,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.716902,-74.007873,"145 W Broadway (at Thomas St), New York, NY 10013"
"40.7128,-74.006",Think Coffee,492,8.2,122,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.716803,-74.003592,"350 Broadway (Leonard St), New York, NY 10013"
"40.7128,-74.006",55 Fulton Market,467,7.6,363,"[{'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}, {'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}, {'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.708739,-74.004626,"55 Fulton St, New York, NY 10038"
"40.7128,-74.006",Lil Chef Mama,467,7.6,8,"[{'id': 13352, 'name': 'Thai Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",40.708504,-74.005315,"27 Cliff St (btw John & Fulton), New York, NY 10038"
"40.7128,-74.006",Xi’an Famous Foods,496,8.0,62,"[{'id': 13099, 'name': 'Chinese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",40.709101,-74.009135,"8 Liberty Pl (Maiden Lane), New York, NY 10038"
"40.7128,-74.006",Kaffe 1668,526,8.5,1615,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.7152,-74.010948,"275 Greenwich St (at Murray St), New York, NY 10007"
"40.7128,-74.006",The Edge,4605,9.1,136,"[{'id': 16045, 'name': 'Roof Deck', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_roofdeck_', 'suffix': '.png'}}]",40.716603,-74.008953,"30 Hudson St, New York, NY 10013"
"34.0522,-118.2437",Badmaash,124,8.4,314,"[{'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}, {'id': 13199, 'name': 'Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}}]",34.051018,-118.244958,"108 W 2nd St (at Main St), Los Angeles, CA 90012"
"34.0522,-118.2437",Redbird,173,8.9,301,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",34.050542,-118.244029,"114 E 2nd St, Los Angeles, CA 90012"
"34.0522,-118.2437",Marukai,278,8.2,196,"[{'id': 17033, 'name': 'Department Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_', 'suffix': '.png'}}]",34.050095,-118.242252,"123 Astronaut E S Onizuka St (E 1st St), Los Angeles, CA 90012"
"34.0522,-118.2437",Fugetsu-Do,370,8.8,83,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 17060, 'name': 'Candy Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/candystore_', 'suffix': '.png'}}]",34.050297,-118.240274,"315 E 1st St (btw San Pedro & Central), Los Angeles, CA 90012"
"34.0522,-118.2437",Marugame Monzo,417,8.8,466,"[{'id': 13281, 'name': 'Udon Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",34.050037,-118.239987,"329 E 1st St (btwn San Pedro & Central Ave), Los Angeles, CA 90012"
"34.0522,-118.2437",Blue Bottle Coffee,417,8.8,176,"[{'id': 13032, 'name': 'Cafe, Coffee, and Tea House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",34.050714,-118.247924,"304 S Broadway, Los Angeles, CA 90013"
"34.0522,-118.2437",Café Dulcé,472,8.7,352,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13334, 'name': 'Sandwich Spot', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}]",34.048738,-118.240387,"134 Japanese Village Plaza Mall, Los Angeles, CA 90012"
"34.0522,-118.2437",Far Bar,465,8.3,444,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",34.049749,-118.239486,"347 E 1st St (at Central Ave), Los Angeles, CA 90012"
