name_x,distance,rating_x,rating_count_x,station_latitude,station_longitude,address_x,name_y,rating_y,rating_count_y,poi_latitude,poi_longitude,address_y,city,zip_code
City Hall Park,147,8.7,0,40.712271,-74.007602,"17 Park Row (btwn Broadway & Centre St), New York, NY 10038",,,,,,,,
The Bar Room at Temple Court,164,9.2,0,40.711478,-74.007004,"123 Nassau St, New York, NY 10038",,,,,,,,
Variety Coffee Roasters,178,8.2,0,40.711231,-74.006165,"140 Nassau St (Beekman St), New York, NY 10038",,,,,,,,
Birch Coffee,226,8.1,0,40.710915,-74.00589,"Entrance on Beekman, 8 Spruce St Manhattan (Beekman Street), New York, NY 10038",,,,,,,,
Takahachi Bakery,254,9.1,0,40.71387,-74.008277,"25 Murray St (at Church St), New York, NY 10007",,,,,,,,
Los Tacos No. 1,283,9.3,0,40.71429,-74.00873,"136 Church St (btw Murray & Warren), New York, NY 10007",,,,,,,,
Da Claudio,259,7.7,0,40.710765,-74.007455,"21 Ann St (btwn Theatre Aly & Park Row), New York, NY 10038",,,,,,,,
Joe's Pizza FiDi,327,8.9,0,40.710003,-74.007687,"124 Fulton St (at Nassau St), New York, NY 10038",,,,,,,,
Zara,295,7.7,0,40.711004,-74.008556,"222 Broadway (Fulton), New York, NY 10038",,,,,,,,
Nish Nush,341,8.8,0,40.715669,-74.007606,"88 Reade St (at Church St), New York, NY 10013",,,,,,,,
Nobu Downtown,376,8.5,0,40.710866,-74.009685,"195 Broadway (at Dey St), New York, NY 10007",,,,,,,,
Anthropologie,392,8.6,0,40.710866,-74.009685,"195 Broadway, New York, NY 10007",,,,,,,,
Lot-Less Closeouts,384,8.1,0,40.709515,-74.005835,"95 Fulton St (btwn Gold & William St.), New York, NY 10038",,,,,,,,
Suited,416,9.1,0,40.709355,-74.007749,"1 Dutch St (John St), New York, NY 10038",,,,,,,,
Nish Nush,413,8.3,0,40.70951,-74.007973,"41 John St (btwn Nassau & Dutch St), New York, NY 10038",,,,,,,,
Kestè Wall Street,422,8.5,0,40.709167,-74.00473,"77 Fulton St (Ann St), New York, NY 10038",,,,,,,,
Atera,439,9.0,0,40.716911,-74.00556,"77 Worth St (btwn Broadway & Church St), New York, NY 10013",,,,,,,,
Holywater,423,8.3,0,40.716076,-74.008495,"112 Reade St (at W Broadway), New York, NY 10013",,,,,,,,
Takahachi,450,9.0,0,40.716631,-74.007906,"145 Duane St (btwn W Broadway & Church St), New York, NY 10013",,,,,,,,
Voyager Espresso,454,8.8,0,40.708787,-74.00681,"110 William St (btwn John & Fulton St), New York, NY 10038",,,,,,,,
Vanessa V Pena MD - Weill Cornell Medicine,435,8.2,0,40.716928,-74.006914,"40 Worth St (btwn Church & W Broadway), New York, NY 10013",,,,,,,,
Wf Beer Garden,411,7.7,0,40.712073,-74.010911,"33 Vesey St, New York, NY 10007",,,,,,,,
Zucker's Bagels and Smoked Fish,447,8.2,0,40.715609,-74.009786,"146 Chambers St (btwn W. Broadway & Greenwich St), New York, NY 10007",,,,,,,,
Oculus Plaza,489,8.9,0,40.711733,-74.011509,"Greenwich St (at Fulton St), New York, NY 10007",,,,,,,,
Tiny's & The Bar Upstairs,481,8.6,0,40.716734,-74.008085,"135 W Broadway (between Duane St & Thomas St), New York, NY 10013",,,,,,,,
Hole In The Wall,503,9.0,0,40.708387,-74.005659,"15 Cliff St (btwn Fulton & John St), New York, NY 10038",,,,,,,,
The Odeon,498,8.7,0,40.716902,-74.007873,"145 W Broadway (at Thomas St), New York, NY 10013",,,,,,,,
Think Coffee,492,8.1,0,40.716803,-74.003592,"350 Broadway (Leonard St), New York, NY 10013",,,,,,,,
55 Fulton Market,467,7.6,0,40.708739,-74.004626,"55 Fulton St, New York, NY 10038",,,,,,,,
Lil Chef Mama,467,7.6,0,40.708504,-74.005315,"27 Cliff St (btw John & Fulton), New York, NY 10038",,,,,,,,
Xi’an Famous Foods,496,8.0,0,40.709101,-74.009135,"8 Liberty Pl (Maiden Lane), New York, NY 10038",,,,,,,,
Kaffe 1668,526,8.5,0,40.7152,-74.010948,"275 Greenwich St (at Murray St), New York, NY 10007",,,,,,,,
The Edge,4605,9.1,0,40.716603,-74.008953,"30 Hudson St, New York, NY 10013",,,,,,,,
